dataset,seed,epoch,pixacc,dice,iou,aji,aji_positive,aji_negative,ihc_quant_diff
BCData,42,200,0.9301235314567944,0.7693641356081501,0.6299789622978052,0.6119579927965443,0.7072273051133256,0.5166886804797629,0.1365670437131713
BCData,123,200,0.9303223581021544,0.7682159228318685,0.6281222558657748,0.6077319362593610,0.6963552336129001,0.5191086389058221,0.1373649524297660
BCData,2026,200,0.9306115237145774,0.7682574970956614,0.6275684041719703,0.6030487106486304,0.6973144379473688,0.5087829833498919,0.1489954497979083
DeepLIIF,42,200,0.8864120432362263,0.7593879557377400,0.6167821079470070,0.4602339436206800,0.5114559853635859,0.4090119018777732,0.0850712409296190
DeepLIIF,123,200,0.8860499468133362,0.7616492493787966,0.6196802869607797,0.4511741800642861,0.5053197655640787,0.3970285945644932,0.0867716981582691
DeepLIIF,2026,200,0.8846089800062552,0.7592612398492915,0.6164481409081428,0.4413130329044562,0.4915260573006789,0.3911000085082333,0.0894119510099150
